Name,Year,Quarter,Count
ruby,2011,3,632
php,2011,3,484
python,2011,3,423
javascript,2011,3,367
java,2011,3,216
c++,2011,3,181
ruby,2011,4,3047
php,2011,4,2261
python,2011,4,2120
javascript,2011,4,1817
java,2011,4,984
c++,2011,4,831
c,2011,4,623
shell,2011,4,406
c#,2011,4,291
objective-c,2011,4,236
scala,2011,4,200
erlang,2011,4,149
html,2011,4,149
haskell,2011,4,111
ruby,2012,1,37951
php,2012,1,17274
python,2012,1,15692
javascript,2012,1,13388
java,2012,1,7817
c++,2012,1,4942
c,2012,1,2617
groovy,2012,1,1748
shell,2012,1,1685
c#,2012,1,1551
scala,2012,1,1243
objective-c,2012,1,955
typescript,2012,1,653
erlang,2012,1,429
haskell,2012,1,379
coffeescript,2012,1,368
html,2012,1,343
go,2012,1,298
lua,2012,1,294
perl,2012,1,271
coldfusion,2012,1,211
emacs lisp,2012,1,207
css,2012,1,197
clojure,2012,1,188
objective-j,2012,1,184
elixir,2012,1,113
web ontology language,2012,1,103
ruby,2012,2,16616
javascript,2012,2,15668
python,2012,2,14656
php,2012,2,14324
java,2012,2,7183
c++,2012,2,4423
c,2012,2,2977
scala,2012,2,1896
c#,2012,2,1833
objective-c,2012,2,1529
shell,2012,2,1327
html,2012,2,1097
erlang,2012,2,656
coffeescript,2012,2,638
perl,2012,2,631
haskell,2012,2,555
css,2012,2,531
emacs lisp,2012,2,526
clojure,2012,2,361
lua,2012,2,339
go,2012,2,313
groovy,2012,2,230
typescript,2012,2,191
puppet,2012,2,180
xslt,2012,2,173
objective-j,2012,2,128
elixir,2012,2,125
coldfusion,2012,2,125
vim script,2012,2,112
nesc,2012,2,109
javascript,2012,3,19104
ruby,2012,3,17444
python,2012,3,17288
php,2012,3,17240
java,2012,3,8285
c++,2012,3,4894
c,2012,3,4133
scala,2012,3,2505
shell,2012,3,2062
c#,2012,3,1887
objective-c,2012,3,1835
html,2012,3,1402
coffeescript,2012,3,945
perl,2012,3,740
css,2012,3,698
erlang,2012,3,644
haskell,2012,3,583
emacs lisp,2012,3,556
go,2012,3,543
clojure,2012,3,523
lua,2012,3,436
groovy,2012,3,388
nesc,2012,3,236
typescript,2012,3,209
nix,2012,3,171
objective-j,2012,3,143
vim script,2012,3,134
puppet,2012,3,121
xslt,2012,3,120
viml,2012,3,118
elixir,2012,3,109
coldfusion,2012,3,106
ruby,2012,4,22135
python,2012,4,21675
javascript,2012,4,21190
php,2012,4,17308
java,2012,4,10964
c++,2012,4,5861
c,2012,4,4833
c#,2012,4,2379
objective-c,2012,4,2163
scala,2012,4,2072
shell,2012,4,1922
html,2012,4,1790
perl,2012,4,1072
coffeescript,2012,4,993
css,2012,4,904
go,2012,4,858
erlang,2012,4,799
haskell,2012,4,704
clojure,2012,4,602
